run_id,subject,task,n_classes,mean_accuracy,std_accuracy,chance_level,f1_macro,perm_pvalue,n_train,n_test,timestamp,file
phase3_batch_20260428_121359,MM18,nasal_v_nonnasal,2,0.5555555555555556,0.07856742013183862,0.5,0.5,,360,90,2026-04-28T13:32:55,../outputs/results/phase3_batch_20260428_121359/MM18_nasal_v_nonnasal.json
phase3_batch_20260428_121359,MM19,11-class,11,0.23809523809523808,0.07461161721901141,0.09090909090909091,0.20974694067854777,,404,101,2026-04-28T13:43:36,../outputs/results/phase3_batch_20260428_121359/MM19_11-class.json
phase3_batch_20260428_121359,MM20,11-class,11,0.11749999999999998,0.05044248650140519,0.09090909090909091,0.10521518307192386,,308,77,2026-04-28T13:51:06,../outputs/results/phase3_batch_20260428_121359/MM20_11-class.json
phase3_batch_20260428_121359,MM16,bilabial_v_nonbilabial,2,0.5841897233201581,0.03329555682000427,0.5,0.5478075776926352,,452,113,2026-04-28T13:25:29,../outputs/results/phase3_batch_20260428_121359/MM16_bilabial_v_nonbilabial.json
phase3_batch_20260428_121359,MM10,nasal_v_nonnasal,2,0.7982683982683982,0.07350899194709713,0.5,0.7718797564687976,,436,109,2026-04-28T12:43:21,../outputs/results/phase3_batch_20260428_121359/MM10_nasal_v_nonnasal.json
phase3_batch_20260428_121359,MM19,bilabial_v_nonbilabial,2,0.6128571428571428,0.08334829797608469,0.5,0.5764971508439952,,404,101,2026-04-28T13:43:39,../outputs/results/phase3_batch_20260428_121359/MM19_bilabial_v_nonbilabial.json
phase3_batch_20260428_121359,MM05,vowel_v_consonant,2,0.6606060606060608,0.08865902326259269,0.5,0.578005115089514,,660,165,2026-04-28T12:14:09,../outputs/results/phase3_batch_20260428_121359/MM05_vowel_v_consonant.json
phase3_batch_20260428_121359,MM09,11-class,11,0.21300000000000002,0.07958503488582373,0.09090909090909091,0.1754590999661945,,488,122,2026-04-28T12:35:47,../outputs/results/phase3_batch_20260428_121359/MM09_11-class.json
phase3_batch_20260428_121359,MM20,nasal_v_nonnasal,2,0.48083333333333333,0.032871804872193364,0.5,0.46969696969696967,,308,77,2026-04-28T13:51:08,../outputs/results/phase3_batch_20260428_121359/MM20_nasal_v_nonnasal.json
phase3_batch_20260428_121359,MM12,nasal_v_nonnasal,2,0.78,0.09797958971132714,0.5,0.7066666666666668,,200,50,2026-04-28T12:59:38,../outputs/results/phase3_batch_20260428_121359/MM12_nasal_v_nonnasal.json
